config_id,mean_interarrival_normal,mean_interarrival_peak,scenario,metric,count,mean,std,min,max,ci95_low,ci95_high
arrival_normal_5_peak_2_5,5.0,2.5,extra_employee_peak,delayed_percentage,10,10.989160030596457,10.420657979793429,0.0,27.906976744186046,4.530369299580259,17.447950761612656
arrival_normal_5_peak_2_5,5.0,2.5,extra_employee_peak,average_wait,10,1.647107693162861,1.051935426477644,0.3830838937634593,3.5210202077205057,0.9951113609412308,2.299104025384491
arrival_normal_5_peak_2_5,5.0,2.5,extra_employee_peak,max_wait,10,10.979983340973018,4.7894912046778915,4.768537334100529,18.604539644065255,8.011425937108354,13.94854074483768
arrival_normal_5_peak_2_5,5.0,2.5,extra_employee_peak,average_queue_length,10,0.4823995820186028,0.35766103475595656,0.08300151031541618,1.1461822002735231,0.2607189759947951,0.7040801880424105
arrival_normal_5_peak_2_5,5.0,2.5,extra_employee_peak,total_customers,10,182.9,23.125022522511554,143.0,223.0,168.56696254568953,197.23303745431048
arrival_normal_5_peak_2_5,5.0,2.5,extra_employee_peak,completed_customers,10,182.9,23.125022522511554,143.0,223.0,168.56696254568953,197.23303745431048
arrival_normal_5_peak_2_5,5.0,2.5,extra_employee_peak,delayed_customers,10,22.0,22.705848487901868,0.0,60.0,7.926769304021832,36.07323069597817
arrival_normal_5_peak_2_5,5.0,2.5,extra_employee_peak,employee_1_utilization,10,0.6757152545125005,0.06393579883895475,0.5751373339960386,0.7812026112778744,0.6360874358352251,0.7153430731897759
arrival_normal_5_peak_2_5,5.0,2.5,extra_employee_peak,employee_2_utilization,10,0.5453353343749823,0.09104059621011945,0.39298412264418947,0.6753546282514556,0.4889077882365028,0.6017628805134617
arrival_normal_5_peak_2_5,5.0,2.5,extra_employee_peak,employee_3_utilization,10,0.21894888063623247,0.04206989219155167,0.14252035973304766,0.2914199928396465,0.1928736913085974,0.24502406996386752
arrival_normal_5_peak_2_5,5.0,2.5,two_employees,delayed_percentage,10,48.023841409202994,15.336071938176739,29.943502824858758,69.95515695067265,38.518445542976025,57.52923727542996
arrival_normal_5_peak_2_5,5.0,2.5,two_employees,average_wait,10,8.642816030495831,5.228047207836556,3.7925163167959326,20.08534478070351,5.402438799732979,11.883193261258684
arrival_normal_5_peak_2_5,5.0,2.5,two_employees,max_wait,10,33.29304924640422,13.284054460961105,19.429605200238356,55.643159579660846,25.059506989366174,41.526591503442276
arrival_normal_5_peak_2_5,5.0,2.5,two_employees,average_queue_length,10,2.5013909606021967,1.7877670375468622,0.8351587707884472,6.467261041187267,1.393321470775907,3.6094604504284864
arrival_normal_5_peak_2_5,5.0,2.5,two_employees,total_customers,10,182.9,23.125022522511554,143.0,223.0,168.56696254568953,197.23303745431048
arrival_normal_5_peak_2_5,5.0,2.5,two_employees,completed_customers,10,182.9,23.125022522511554,143.0,223.0,168.56696254568953,197.23303745431048
arrival_normal_5_peak_2_5,5.0,2.5,two_employees,delayed_customers,10,90.3,38.55746072782514,46.0,156.0,66.40183824828547,114.19816175171452
arrival_normal_5_peak_2_5,5.0,2.5,two_employees,employee_1_utilization,10,0.7671177582009991,0.06933365348244384,0.6392616692099238,0.8796799791342852,0.7241443145539431,0.8100912018480552
