config_id,mean_interarrival_normal,mean_interarrival_peak,replication,seed,base_total_customers,extra_total_customers,base_delayed_percentage,extra_delayed_percentage,delayed_percentage_improvement,base_average_wait,extra_average_wait,average_wait_improvement,base_max_wait,extra_max_wait,max_wait_improvement,base_average_queue_length,extra_average_queue_length,average_queue_length_improvement,extra_employee_utilization
arrival_normal_6_peak_2_0,6.0,2.0,1,1,183,183,71.5846994535519,18.579234972677597,53.00546448087431,17.79918114766137,2.2405649948004407,15.558616152860928,48.95711192806698,13.866021458090131,35.09109046997685,4.925768574516032,0.6117886412227799,4.313979933293252,0.2930314951360577
arrival_normal_6_peak_2_0,6.0,2.0,2,2,207,207,62.31884057971015,18.840579710144926,43.47826086956522,14.38778187615051,2.371429359429024,12.016352516721486,50.968714909612686,12.750700755287596,38.21801415432509,4.51253158842903,0.7437664809118302,3.7687651075171997,0.27197503911911663
arrival_normal_6_peak_2_0,6.0,2.0,3,3,193,193,77.20207253886011,27.979274611398964,49.222797927461144,24.072971735033995,3.595187466507808,20.477784268526186,60.64972682062046,17.089795699681872,43.559931120938586,7.021115446629225,1.0513199712666772,5.969795475362548,0.29377663290616773
arrival_normal_6_peak_2_0,6.0,2.0,4,4,221,221,73.30316742081448,28.959276018099548,44.34389140271493,22.82959883541863,5.173875303218628,17.6557235322,74.70413020724104,29.97420487089451,44.729925336346525,7.644456579738661,1.7324643060777514,5.9119922736609105,0.28968813161127926
arrival_normal_6_peak_2_0,6.0,2.0,5,5,183,183,65.57377049180327,26.229508196721312,39.34426229508196,20.17370168134495,3.7386772267279342,16.435024454617018,75.85906730745864,25.56156097492655,50.297506332532095,5.593617284372917,1.036633231047291,4.5569840533256265,0.28409515973792676
arrival_normal_6_peak_2_0,6.0,2.0,6,6,206,206,68.44660194174757,20.87378640776699,47.57281553398059,19.887524560737887,2.633437416925058,17.25408714381283,61.496433745541026,13.622655329434906,47.87377841610612,6.198434845881116,0.814224169361865,5.384210676519251,0.3132650297765002
arrival_normal_6_peak_2_0,6.0,2.0,7,7,152,152,52.63157894736842,3.9473684210526314,48.68421052631579,9.2797272553509,0.7953577060970444,8.484369549253856,28.939401347873797,7.157695759696196,21.7817055881776,2.137149307292934,0.18317328988901627,1.9539760174039178,0.21375779996347685
arrival_normal_6_peak_2_0,6.0,2.0,8,8,193,193,58.54922279792746,25.38860103626943,33.160621761658035,11.918806142832285,3.6540291698326683,8.264776972999616,46.02840055972379,26.199749904078317,19.828650655645475,3.485347856919138,1.0685267117844013,2.416821145134737,0.24123424653109343
arrival_normal_6_peak_2_0,6.0,2.0,9,9,187,187,56.149732620320854,5.882352941176471,50.26737967914438,11.830116719405972,1.2000008625893999,10.630115856816571,46.58709495397045,8.970510237792723,37.61658471617773,3.3518664038316937,0.34000024440033,3.0118661594313636,0.2752746402409248
arrival_normal_6_peak_2_0,6.0,2.0,10,10,227,227,77.97356828193833,56.38766519823788,21.585903083700444,35.69698875257213,8.187160807631242,27.509827944940888,79.23627854736196,24.05455790696533,55.181720640396634,11.727575568067214,2.815887126261049,8.911688441806165,0.34246977836004944
arrival_normal_6_peak_2_5,6.0,2.5,1,1,159,159,47.16981132075472,5.031446540880503,42.138364779874216,5.404752256551517,1.0181451683898897,4.386607088161627,22.226598900196777,10.589854144745729,11.636744755451048,1.3004549251756574,0.2436813993912652,1.0567735257843922,0.2104420673712642
arrival_normal_6_peak_2_5,6.0,2.5,2,2,166,166,53.6144578313253,9.63855421686747,43.975903614457835,12.207471572932278,1.4240089655231503,10.783462607409128,43.698274456484,12.965672483262892,30.732601973221108,3.0703640622829673,0.3581598307224893,2.712204231560478,0.22690334449833247
arrival_normal_6_peak_2_5,6.0,2.5,3,3,177,177,55.932203389830505,6.779661016949152,49.152542372881356,8.278623235984782,1.141809742969836,7.136813493014945,33.83159186012881,11.265178780560404,22.566413079568406,2.211571181303873,0.29760756272259287,1.91396361858128,0.2360095116640083
arrival_normal_6_peak_2_5,6.0,2.5,4,4,198,198,57.07070707070707,19.696969696969695,37.37373737373738,12.543955464018634,2.696379962891406,9.847575501127228,43.891912742073515,14.261259268607745,29.63065347346577,3.7599039682565496,0.8056313179183784,2.9542726503381713,0.2538647896093859
arrival_normal_6_peak_2_5,6.0,2.5,5,5,169,169,54.437869822485204,8.875739644970414,45.56213017751479,9.880033887570084,1.1747754517580016,8.705258435812082,36.94075407542178,7.927540783622362,29.013213291799417,2.5298874651505208,0.3008137141622762,2.2290737509882446,0.25213127761120974
arrival_normal_6_peak_2_5,6.0,2.5,6,6,167,167,43.712574850299404,7.7844311377245505,35.92814371257485,8.500909047847117,1.4472346348756644,7.053674412971452,39.199845973657034,8.75037239602267,30.449473577634365,2.1509875924098014,0.36619421821853937,1.784793374191262,0.22786044460251464
arrival_normal_6_peak_2_5,6.0,2.5,7,7,138,138,39.85507246376812,1.4492753623188406,38.405797101449274,7.011150865356927,0.6089492816578151,6.402201583699112,29.01322606861504,5.461591302012778,23.551634766602263,1.4659679082109935,0.12732575889208864,1.338642149318905,0.17939163812185377
arrival_normal_6_peak_2_5,6.0,2.5,8,8,160,160,24.375,5.0,19.375,2.6840094478885232,0.8538169446854245,1.8301925032030988,14.850572426312283,8.023713471951893,6.8268589543603895,0.6506689570638845,0.20698592598434531,0.4436830310795392,0.15692425741318672
arrival_normal_6_peak_2_5,6.0,2.5,9,9,159,159,23.270440251572328,1.8867924528301887,21.38364779874214,3.176629140699467,0.68653801588294,2.490091124816527,19.521262391208552,5.6936803604170905,13.827582030791461,0.7652788384412353,0.16539324928089008,0.5998855891603453,0.17102834005445078
arrival_normal_6_peak_2_5,6.0,2.5,10,10,182,182,56.043956043956044,15.934065934065934,40.10989010989011,13.001101344742148,2.0427458021574045,10.958355542584744,47.02803804976543,15.917803484319279,31.11023456544615,3.5851521890046536,0.5633026302918904,3.021849558712763,0.245093446274784
